"","SITE","SST_range","SST_Mean","DATE_","COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Data_Source","Bleaching_Period"
"95","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",35,13.1064,60,40,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"96","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",52.5,13.1064,60,65,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"97","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",75,13.1064,60,80,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"98","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",45,13.1064,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"99","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",80,13.1064,60,40,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"100","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",50,13.1064,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"101","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",60,13.1064,60,96,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"102","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",65,13.1064,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"103","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",45,13.1064,60,98,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"104","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",22.5,13.1064,60,35,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"105","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",30,13.1064,60,10,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"106","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",30,13.1064,60,80,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"107","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",45,13.1064,60,70,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"108","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",75,13.1064,60,15,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"109","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",25,13.1064,60,85,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"110","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",75,13.1064,60,98,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"111","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",125,13.1064,60,85,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"112","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",105,13.1064,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"113","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",105,13.1064,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"114","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",22,10.9728,60,10,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"115","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",55,10.9728,60,66,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"116","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",40,10.9728,60,80,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"117","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",17,10.9728,60,0,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"118","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",45,10.9728,60,75,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"119","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",19,10.9728,60,10,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"120","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",65,10.9728,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"121","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",17,10.9728,60,75,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"122","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",35,10.9728,60,80,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"123","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",65,10.9728,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"124","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",50,10.9728,60,85,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"125","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",30,10.9728,60,60,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"126","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",47,10.9728,60,50,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"127","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",9,10.9728,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching"
"128","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",63,10.9728,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"129","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",55,10.9728,60,55,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"130","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",10,10.9728,60,5,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching"
"131","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",5,10.9728,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching"
"132","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",41,10.9728,60,65,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"133","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",75,10.9728,60,65,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
