,YEAR,DATE_,SITE,LATITUDE.x,LONGITUDE.x,MAX_DEPTH_M.x,SURVEYAREA,COL_COUNT,YEAR.y,LATITUDE.y,LONGITUDE.y,MAX_DEPTH_M.y,DATE_formatted,DATE,month,DENSITY,removed_count,min_size,max_size,adjusted_colony_count,adjusted_density
79,2025,,TUT-126,-14.336157,-170.796416,13.716,180,89,NA,NA,NA,NA,3/15/2025,3/15/2025,3,0.494444444,NA,NA,NA,89,0.494444444
80,2025,,TUT-139,-14.352648,-170.787165,11.8872,180,56,NA,NA,NA,NA,3/15/2025,3/15/2025,3,0.311111111,NA,NA,NA,56,0.311111111
81,2025,,TUT-086,-14.27703,-170.611737,15.5448,180,4,NA,NA,NA,NA,3/18/2025,3/18/2025,3,0.022222222,NA,NA,NA,4,0.022222222
82,2025,,TUT-157,-14.274192,-170.619785,15.5448,180,19,NA,NA,NA,NA,3/18/2025,3/18/2025,3,0.105555556,NA,NA,NA,19,0.105555556
83,2025,,TUT-219,-14.28823,-170.639848,14.0208,180,16,NA,NA,NA,NA,3/18/2025,3/18/2025,3,0.088888889,NA,NA,NA,16,0.088888889
84,2025,,TUT-220,-14.300247,-170.681886,12.8016,180,13,NA,NA,NA,NA,3/18/2025,3/18/2025,3,0.072222222,NA,NA,NA,13,0.072222222
85,2025,,TUT-221,-14.362476,-170.746348,13.716,180,0,NA,NA,NA,NA,3/19/2025,3/19/2025,3,0,NA,NA,NA,0,0
86,2025,,TUT-222,-14.363787,-170.772574,15.24,180,412,NA,NA,NA,NA,3/19/2025,3/19/2025,3,2.288888889,NA,NA,NA,412,2.288888889
87,2025,,TUT-223,-14.35909,-170.785248,12.4968,180,274,NA,NA,NA,NA,3/19/2025,3/19/2025,3,1.522222222,1,125,125,273,1.516666667
88,2025,,TUT-098,-14.314128,-170.652116,16.1544,180,3,NA,NA,NA,NA,3/21/2025,3/21/2025,3,0.016666667,NA,NA,NA,3,0.016666667
89,2025,,TUT-077,-14.304935,-170.596438,17.3736,180,0,NA,NA,NA,NA,3/22/2025,3/22/2025,3,0,NA,NA,NA,0,0
